,title,year,imdb_score
0,White Chicks,2004,5.7
1,Little Man,2006,4.4
2,Scary Movie,2000,6.2
3,Scary Movie 2,2001,5.3
4,Scary Movie 3,2003,5.5
5,The Hot Chick,2002,5.5
6,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.5
7,Norbit,2007,4.1
8,Big Momma's House,2000,5.2
10,Scary Movie 4,2006,5.1
11,Click,2006,6.4
12,Mean Girls,2004,7.1
13,Desu nôto,2006–2007,9.0
14,Shingeki no Kyojin,2013–2023,9.0
15,Hagane no renkinjutsushi,2009–2010,9.1
16,Wanpanman,2015–2019,8.7
17,Hunter x Hunter,2011–2014,9.0
18,Kimetsu no Yaiba,2019– ,8.7
19,Shippûden,2007–2017,8.7
20,Naruto,2002–2007,8.4
21,Jujutsu Kaisen,2020– ,8.6
22,Tokyo Ghoul,2014,7.8
23,Code Geass - Lelouch of the Rebellion,2006–2008,8.7
24,Steins;Gate,2011–2015,8.8
25,Death Note,2017,4.5
26,Luke Cage,2016–2018,7.3
27,Iron Fist,2017–2018,6.4
28,Jessica Jones,2015–2019,7.9
29,The Defenders,2017,7.2
30,The Punisher,2017–2019,8.5
31,Daredevil,2015–2018,8.6
32,Agent Carter,2015–2016,7.9
33,Agents of S.H.I.E.L.D.,2013–2020,7.5
34,Gotham,2014–2019,7.8
35,Arrow,2012–2020,7.5
36,The Falcon and the Winter Soldier,2021,7.2
38,Cloak & Dagger,2018–2019,6.6
39,The Do-Over,2016,5.7
40,Murder Mystery,2019,6.0
41,Sandy Wexler,2017,5.2
42,The Ridiculous 6,2015,4.8
43,That's My Boy,2012,5.5
44,Hubie Halloween,2020,5.2
45,Grown Ups 2,2013,5.3
46,Grown Ups,2010,5.9
47,The Week Of,2018,5.2
48,The Cobbler,2014,5.8
49,You Don't Mess with the Zohan,2008,5.6
50,I Now Pronounce You Chuck & Larry,2007,5.9
51,Blended,2014,6.5
52,Trollhunters,2016–2018,8.4
53,Tales of Arcadia,2018–2019,7.7
54,Wizards,2020,8.1
55,Rise of the Titans,2021,6.6
56,The Dragon Prince,2018– ,8.4
57,The Hollow,2018–2020,7.2
58,Carmen Sandiego,2019–2021,7.9
59,Race to the Edge,2015–2018,8.2
60,Legendary Defender,2016–2018,8.1
61,The Last Kids on Earth,2019– ,7.3
62,She-Ra and the Princesses of Power,2018–2020,7.9
63,Kipo and the Age of Wonderbeasts,2020,8.3
64,Star vs. the Forces of Evil,2015–2023,8.0
65,Santa Clarita Diet,2017–2019,7.8
66,iZombie,2015–2019,7.8
67,Unbreakable Kimmy Schmidt,2015–2019,7.6
68,The Good Place,2016–2020,8.2
69,Dead to Me,2019–2022,8.0
70,Orange Is the New Black,2013–2019,8.1
72,Scream Queens,2015–2016,7.1
73,Good Girls,2018–2021,7.7
74,Don't Trust the B---- in Apartment 23,2012–2013,7.3
75,Ratched,2020– ,7.2
76,Chilling Adventures of Sabrina,2018–2020,7.4
78,13 Reasons Why,2017–2020,7.5
79,The End of the F***ing World,2017–2019,8.1
80,You,2018– ,7.7
81,Sex Education,2019– ,8.4
82,Élite,2018– ,7.4
83,The Society,2019,7.1
84,Atypical,2017–2021,8.3
85,Pretty Little Liars,2010–2017,7.4
86,La casa de papel,2017–2021,8.2
87,I Am Not Okay with This,2020,7.5
88,Gossip Girl,2007–2012,7.5
89,The Queen's Gambit,2020,8.6
91,Stranger Things,2016– ,8.7
92,The Boys,2019– ,8.7
93,Breaking Bad,2008–2013,9.5
94,Game of Thrones,2011–2019,9.2
95,Rick and Morty,2013– ,9.2
96,The Walking Dead,2010–2022,8.1
97,Better Call Saul,2015–2022,8.9
98,Peaky Blinders,2013–2022,8.8
99,The Mandalorian,2019– ,8.7
100,The Umbrella Academy,2019–2023,7.9
101,Black Mirror,2011–2019,8.8
102,Euphoria,2019– ,8.4
103,The Office,2005–2013,9.0
104,Zootopia,2016,8.0
105,Big Hero 6,2014,7.8
106,Wreck-It Ralph,2012,7.7
107,Moana,2016,7.6
108,Tangled,2010,7.7
109,Frozen,2013,7.4
110,Inside Out,2015,8.2
111,Ratatouille,2007,8.1
112,Monsters University,2013,7.3
113,Coco,2017,8.4
114,Brave,2012,7.1
115,Up,2009,8.3
116,Finding Dory,2016,7.3
117,Meet the Blacks,2016,4.8
118,The House Next Door,2021,3.9
119,Friday After Next,2002,5.7
121,Stan Helsing,2009,3.5
123,Next Friday,2000,6.1
124,"Welcome Home, Roscoe Jenkins",2008,5.5
127,How High 2,2019,3.1
128,Little Man,2006,4.4
129,Beyond Anarchy,2018,5.2
130,Finding Dory,2016,7.3
131,Finding Nemo,2003,8.2
132,Monsters University,2013,7.3
133,Wreck-It Ralph,2012,7.7
134,Incredibles 2,2018,7.6
135,Brave,2012,7.1
136,Toy Story 2,1999,7.9
137,Frozen,2013,7.4
138,Zootopia,2016,8.0
139,Ralph Breaks the Internet,2018,7.0
140,Cars,2006,7.2
141,Tangled,2010,7.7
142,Moana,2016,7.6
143,Sausage Party,2016,6.1
144,This Is the End,2013,6.6
145,The Interview,2014,6.5
146,The Simpsons Movie,2007,7.3
147,The Dictator,2012,6.4
148,Neighbors,2014,6.3
149,Pineapple Express,2008,6.9
150,Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3
151,21 Jump Street,2012,7.2
152,22 Jump Street,2014,7.0
153,Ted,2012,6.9
154,The 40 Year Old Virgin,2005,7.1
155,Click,2006,6.4
156,Pete's Dragon,2016,6.7
157,The BFG,2016,6.3
159,The Jungle Book,2016,7.4
160,Christopher Robin,2018,7.2
161,Dumbo,2019,6.3
162,The Good Dinosaur,2015,6.7
163,Peter Rabbit,2018,6.5
164,Paddington,2014,7.2
165,The Water Horse,2007,6.4
166,Epic,2013,6.6
167,Tomorrowland,2015,6.4
168,The Peanuts Movie,2015,7.0
169,What Now?,2016,5.9
170,Let Me Explain,2013,6.6
171,Irresponsible,2019,6.5
172,I'm a Grown Little Man,2009,7.5
173,Seriously Funny,2010,7.5
174,Laugh at My Pain,2011,7.3
175,Zero F**ks Given,2020,6.0
177,Equanimity,2017,8.1
178,The Bird Revelation,2017,7.8
179,Dave Chappelle Live at the Hollywood Palladium,2017,8.1
180,Dave Chappelle Live at Austin City Limits,2017,7.9
181,Tamborine,2018,6.6
182,Life in Pieces,2015–2019,8.0
183,American Housewife,2016–2021,7.4
184,Happy Endings,2011–2020,7.8
185,Speechless,2016–2019,7.5
186,Single Parents,2018–2020,7.1
187,Bless This Mess,2019–2020,6.8
188,Cougar Town,2009–2015,7.0
189,Suburgatory,2011–2014,7.2
190,Band Aid,2017,6.6
191,Grandfathered,2015–2016,6.9
192,The Mick,2017–2018,7.8
193,The Mindy Project,2012–2017,7.5
194,Perfect Harmony,2019–2020,6.6
195,Sorjonen,2016–2020,7.6
196,Muraalimurhat,2021,6.2
197,Karppi,2018–2021,7.3
198,The Valhalla Murders,2019–2020,7.1
199,Ófærð,2015– ,8.0
200,Grenseland,2017– ,6.7
201,Zone Blanche,2017– ,7.4
202,La trêve,2016– ,7.6
203,The Chestnut Man,2021– ,7.7
204,La forêt,2017,7.2
205,Marcella,2016–2021,7.4
207,Bron/Broen,2011–2018,8.6
208,Dope,2015,7.2
209,Sorry to Bother You,2018,6.9
210,Straight Outta Compton,2015,7.8
211,Fruitvale Station,2013,7.5
212,Friday,1995,7.2
214,Menace II Society,1993,7.5
215,Dope,2017– ,7.3
216,Big Time Adolescence,2019,6.9
217,The Disaster Artist,2017,7.3
218,Next Friday,2000,6.1
219,Mid90s,2018,7.3
220,Project X,2012,6.6
221,Haters Back Off!,2016–2017,6.0
222,No Good Nick,2019,6.0
223,Creeped Out,2017–2019,6.6
224,Fuller House,2016–2020,6.7
227,Jessie,2011–2015,6.0
228,Sam & Cat,2013–2014,5.6
229,Good Luck Charlie,2010–2014,7.1
230,Life in the Dreamhouse,2012–2015,7.4
231,Radio Rebel,2012,5.8
232,A.N.T. Farm,2011–2014,5.1
233,A Series of Unfortunate Events,2017–2019,7.8
234,Kubo and the Two Strings,2016,7.7
235,ParaNorman,2012,7.0
236,Coraline,2009,7.7
237,The Boxtrolls,2014,6.8
238,Rango,2011,7.2
239,Rise of the Guardians,2012,7.2
240,The Book of Life,2014,7.2
241,The Nightmare Before Christmas,1993,7.9
242,The Curse of the Were-Rabbit,2005,7.5
243,Corpse Bride,2005,7.3
244,Missing Link,2019,6.7
245,Song of the Sea,2014,8.0
246,Monster House,2006,6.6
247,Little Boxes,2016,5.9
248,Rainbow Time,2016,5.9
249,The Land of Steady Habits,2018,6.2
251,Outside In,2017,6.7
252,Sun Dogs,2017,6.2
253,Mr. Roosevelt,2017,6.2
254,Strange Weather,2016,6.0
255,People Places Things,2015,6.8
256,Diggers,2006,6.3
257,Deidra & Laney Rob a Train,2017,6.0
258,Other People,2016,6.8
260,Greenleaf,2016–2020,7.4
261,Queen Sugar,2016–2022,7.7
262,Being Mary Jane,2013–2019,7.5
263,Star,2016–2019,6.6
264,Empire,2015–2020,7.4
265,Underground,2016–2017,7.8
266,The Haves and the Have Nots,2013–2021,5.8
269,The Game,2006–2015,6.7
270,Survivor's Remorse,2014–2017,7.0
271,Soul Food,2000–2004,7.5
272,Ambitions,2019,5.4
273,Life Unexpected,2010–2011,7.5
274,The Lying Game,2011–2013,7.3
275,The Secret Circle,2011–2012,7.3
276,The Carrie Diaries,2013–2014,7.0
277,The Fosters,2013–2018,7.9
278,Hellcats,2010–2011,6.7
279,Awkward.,2011–2016,7.5
280,Hart of Dixie,2011–2015,7.7
281,Make It or Break It,2009–2012,7.5
282,Finding Carter,2014–2015,7.5
283,Jane by Design,2012,7.3
284,Twisted,2013–2014,7.2
286,The Matchbreaker,2016,5.5
290,The Evil That Men Do,2015,4.7
291,Immigration Game,2017,3.3
292,The Beacon,2009,4.6
293,Small Town Saturday Night,2010,5.3
296,Cyclops,2008,2.9
299,The Waterboy,1998,6.1
300,Big Daddy,1999,6.4
301,Happy Gilmore,1996,7.0
302,Billy Madison,1995,6.3
303,The Wedding Singer,1998,6.9
304,The Longest Yard,2005,6.4
305,50 First Dates,2004,6.8
306,Click,2006,6.4
307,Little Nicky,2000,5.3
308,Mr. Deeds,2002,5.8
309,A True Underdog Story,2004,6.7
310,Tommy Boy,1995,7.1
311,Anger Management,2003,6.2
312,10 Things I Hate About You,1999,7.3
313,Clueless,1995,6.9
314,Mean Girls,2004,7.1
315,How to Lose a Guy in 10 Days,2003,6.4
316,Easy A,2010,7.0
317,13 Going on 30,2004,6.2
318,The Notebook,2004,7.8
319,The Devil Wears Prada,2006,6.9
320,The Perks of Being a Wallflower,2012,8.0
321,Legally Blonde,2001,6.4
322,"Love, Rosie",2014,7.1
323,She's the Man,2006,6.3
324,(500) Days of Summer,2009,7.7
325,Grease,1978,7.2
326,Dirty Dancing,1987,7.0
328,Pretty Woman,1990,7.1
330,Pitch Perfect,2012,7.1
331,Mean Girls,2004,7.1
332,Clueless,1995,6.9
333,Footloose,1984,6.6
334,Ghost,1990,7.1
335,The Breakfast Club,1985,7.8
336,Hairspray,2007,6.7
337,The Devil Wears Prada,2006,6.9
338,How to Lose a Guy in 10 Days,2003,6.4
339,13 Going on 30,2004,6.2
340,Friends with Benefits,2011,6.5
341,The Ugly Truth,2009,6.4
342,The Devil Wears Prada,2006,6.9
343,10 Things I Hate About You,1999,7.3
344,The Proposal,2009,6.7
345,27 Dresses,2008,6.1
346,Miss Congeniality,2000,6.3
347,Legally Blonde,2001,6.4
348,Pretty Woman,1990,7.1
349,The Holiday,2006,6.9
350,Easy A,2010,7.0
351,The Benchwarmers,2006,5.5
352,The Animal,2001,4.8
353,The Waterboy,1998,6.1
354,I Now Pronounce You Chuck & Larry,2007,5.9
355,Joe Dirt,2001,5.9
356,Billy Madison,1995,6.3
357,Mr. Deeds,2002,5.8
358,Grown Ups,2010,5.9
359,The Longest Yard,2005,6.4
360,The Ringer,2005,5.8
361,Male Gigolo,1999,5.7
362,European Gigolo,2005,4.6
363,Big Daddy,1999,6.4
364,Step Up,2006,6.5
365,The Streets,2008,6.2
366,Step Up 3D,2010,6.1
367,Step Up Revolution,2012,6.4
368,Step Up All In,2014,5.9
369,She's the Man,2006,6.3
370,17 Again,2009,6.4
371,Save the Last Dance,2001,6.2
372,Dear John,2010,6.3
373,Bring It On,2000,6.1
374,A Walk to Remember,2002,7.3
375,Step Up China,2019,3.7
376,27 Dresses,2008,6.1
377,High School Musical 2,2007,5.1
378,Senior Year,2008,4.9
379,High School Musical,2006,5.5
380,Camp Rock,2008,5.1
381,The Final Jam,2010,5.2
382,Princess Protection Program,2009,5.6
383,The Movie,2009,4.5
385,Lemonade Mouth,2011,6.9
386,Sharpay's Fabulous Adventure,2011,4.7
387,Hannah Montana,2006–2011,5.2
388,16 Wishes,2010,5.4
389,Teen Beach Movie,2013,5.9
390,Twilight,2008,5.3
391,New Moon,2009,4.7
392,Eclipse,2010,5.0
393,Breaking Dawn - Part 1,2011,4.9
394,Breaking Dawn - Part 2,2012,5.5
395,Fifty Shades of Grey,2015,4.1
396,Remember Me,2010,7.1
397,Fifty Shades Darker,2017,4.5
398,Divergent,2014,6.6
399,Fifty Shades Freed,2018,4.5
400,Catching Fire,2013,7.5
401,The Hunger Games,2012,7.2
402,Snow White and the Huntsman,2012,6.1
403,Coraline,2009,7.7
404,The Nightmare Before Christmas,1993,7.9
405,Corpse Bride,2005,7.3
406,Monster House,2006,6.6
407,ParaNorman,2012,7.0
408,Frankenweenie,2012,6.9
409,Rango,2011,7.2
410,Kubo and the Two Strings,2016,7.7
411,James and the Giant Peach,1996,6.7
412,Megamind,2010,7.3
413,Cloudy with a Chance of Meatballs,2009,6.9
414,Charlie and the Chocolate Factory,2005,6.7
415,Tangled,2010,7.7
416,The Movie,2009,4.5
417,Hannah Montana,2006–2011,5.2
418,Camp Rock,2008,5.1
419,High School Musical 2,2007,5.1
421,Princess Protection Program,2009,5.6
422,Senior Year,2008,4.9
423,High School Musical,2006,5.5
424,The Final Jam,2010,5.2
425,16 Wishes,2010,5.4
426,StarStruck,2010,6.1
427,Lemonade Mouth,2011,6.9
428,Wizards of Waverly Place,2007–2012,6.9
429,Safe Haven,2013,6.6
430,The Lucky One,2012,6.4
431,Dear John,2010,6.3
432,The Longest Ride,2015,7.0
433,The Best of Me,2014,6.6
434,The Last Song,2010,6.0
435,The Choice,2016,6.5
436,The Vow,2012,6.8
437,A Walk to Remember,2002,7.3
438,Life as We Know It,2010,6.5
439,Forever My Girl,2018,6.6
440,If I Stay,2014,6.7
441,Letters to Juliet,2010,6.5
442,Fuller House,2016–2020,6.7
444,Boy Meets World,1993–2000,8.1
445,Girl Meets World,2014–2017,7.1
446,No Good Nick,2019,6.0
447,Jessie,2011–2015,6.0
448,Good Luck Charlie,2010–2014,7.1
449,Victorious,2010–2013,7.0
450,Liv and Maddie,2013–2017,6.3
452,iCarly,2007–2012,6.7
453,Baby Daddy,2012–2017,7.3
455,A Year in the Life,2016,7.6
456,Gilmore Girls,2000–2007,8.2
457,Gossip Girl,2007–2012,7.5
458,Jane the Virgin,2014–2019,7.9
459,New Girl,2011–2018,7.7
460,Parenthood,2010–2015,8.3
461,Pretty Little Liars,2010–2017,7.4
462,Hart of Dixie,2011–2015,7.7
463,Glee,2009–2015,6.8
464,Sex and the City,1998–2004,7.3
465,One Tree Hill,2003–2012,7.7
466,Emily in Paris,2020– ,6.9
467,Private Practice,2007–2013,6.7
468,I'm Sorry for What I Said When I Was Hungry,2016,7.4
469,One Show Fits All,2019,7.2
470,Aloha Fluffy,2013– ,8.0
471,Hot and Fluffy,2007,7.9
472,I'm Not Fat... I'm Fluffy,2009,8.0
473,Unity Through Laughter,2014,7.2
474,Afraid of the Dark,2017,7.2
475,I'm a Grown Little Man,2009,7.5
476,Let Me Explain,2013,6.6
477,Irresponsible,2019,6.5
478,Mr. Iglesias,2019–2020,7.1
480,Son of Patricia,2018,7.3
481,Blow,2001,7.5
482,Donnie Brasco,1997,7.7
483,Fear and Loathing in Las Vegas,1998,7.5
484,Public Enemies,2009,7.0
485,Secret Window,2004,6.5
486,Black Mass,2015,6.9
487,From Hell,2001,6.7
488,What's Eating Gilbert Grape,1993,7.7
489,Once Upon a Time in Mexico,2003,6.3
490,Chocolat,2000,7.3
491,The Ninth Gate,1999,6.7
492,American Gangster,2007,7.8
493,The Libertine,2004,6.2
494,Magic Mike,2012,6.1
495,Magic Mike XXL,2015,5.6
496,Step Up,2006,6.5
498,Killer Joe,2011,6.7
499,The Streets,2008,6.2
500,Mud,2012,7.4
501,Failure to Launch,2006,5.6
502,Dallas Buyers Club,2013,7.9
504,White House Down,2013,6.3
505,Fool's Gold,2008,5.7
506,Step Up Revolution,2012,6.4
507,Trouble with the Curve,2012,6.8
508,Blood Work,2002,6.4
509,Space Cowboys,2000,6.5
510,The Mule,2018,7.0
512,True Crime,1999,6.6
513,In the Line of Fire,1993,7.2
514,A Perfect World,1993,7.5
515,Absolute Power,1997,6.7
516,Invictus,2009,7.3
517,The Bridges of Madison County,1995,7.6
519,Gran Torino,2008,8.1
520,Home,2015,6.6
521,Mr. Peabody & Sherman,2014,6.8
522,The Lorax,2012,6.4
523,Trolls,2016,6.4
524,The Croods,2013,7.2
525,Turbo,2013,6.4
526,Cloudy with a Chance of Meatballs 2,2013,6.3
527,Rise of the Guardians,2012,7.2
528,The Boss Baby,2017,6.3
529,The Secret Life of Pets,2016,6.5
530,Rio,2011,6.9
531,Angry Birds,2016,6.2
532,Hotel Transylvania 2,2015,6.6
533,London Has Fallen,2016,5.9
534,Olympus Has Fallen,2013,6.5
535,Angel Has Fallen,2019,6.4
536,White House Down,2013,6.3
537,Taken 2,2012,6.2
538,Taken 3,2014,6.0
539,Law Abiding Citizen,2009,7.4
540,Taken,2008,7.8
541,Hunter Killer,2018,6.6
542,Geostorm,2017,5.3
543,Greenland,2020,6.4
544,Escape Plan,2013,6.7
545,Den of Thieves,2018,7.0
546,Jessica Jones,2015–2019,7.9
547,Luke Cage,2016–2018,7.3
548,The Defenders,2017,7.2
549,Iron Fist,2017–2018,6.4
550,Daredevil,2015–2018,8.6
551,The Punisher,2017–2019,8.5
552,Agents of S.H.I.E.L.D.,2013–2020,7.5
553,Agent Carter,2015–2016,7.9
554,Gotham,2014–2019,7.8
555,Arrow,2012–2020,7.5
556,The Falcon and the Winter Soldier,2021,7.2
557,WandaVision,2021,7.9
558,Hawkeye,2021,7.5
559,The Crown,2016– ,8.7
560,The Handmaid's Tale,2017– ,8.4
561,The Harbinger,2022,3.5
562,The Queen's Gambit,2020,8.6
564,Game of Thrones,2011–2019,9.2
565,Succession,2018– ,8.8
566,Stranger Things,2016– ,8.7
567,The Queen,2006,7.3
568,The Winx Saga,2021– ,6.8
569,Downton Abbey,2010–2015,8.7
570,Breaking Bad,2008–2013,9.5
571,Friends,1994–2004,8.9
572,Rosewood,2015–2017,6.6
573,Take Two,2018,7.1
574,The Glades,2010–2013,7.4
575,Instinct,2018–2019,6.6
576,The Mysteries of Laura,2014–2016,6.8
577,Body of Proof,2011–2013,7.1
578,The Enemy Within,2019,7.1
579,Rizzoli & Isles,2010–2016,7.6
580,Rosewood,1997,7.2
581,Perception,2012–2015,7.5
582,King & Maxwell,2013,7.1
583,Beyond Borders,2016–2017,6.1
584,Numb3rs,2005–2010,6.9
585,Travelers,2016–2018,8.0
586,Altered Carbon,2018–2020,7.9
587,Timeless,2016–2018,7.6
588,The OA,2016–2019,7.8
589,Sense8,2015–2018,8.2
590,12 Monkeys,2015–2018,7.7
591,Colony,2016–2018,7.3
592,Continuum,2012–2015,7.6
593,Dark Matter,2015–2017,7.5
594,Heroes,2006–2010,7.6
596,Orphan Black,2013–2017,8.3
597,Fringe,2008–2013,8.4
598,The Nightmare Before Christmas,1993,7.9
599,Corpse Bride,2005,7.3
600,Coraline,2009,7.7
601,Frankenweenie,2012,6.9
602,James and the Giant Peach,1996,6.7
603,Monster House,2006,6.6
604,Charlie and the Chocolate Factory,2005,6.7
605,How the Grinch Stole Christmas,2000,6.2
606,Mulan,1998,7.6
607,ParaNorman,2012,7.0
608,The Little Mermaid,1989,7.6
611,Scooby-Doo,2002,5.2
612,Monsters Unleashed,2004,5.1
613,"Scooby Doo, Where Are You!",1969–1970,7.9
614,Scooby-Doo! The Mystery Begins,2009,5.2
615,Spy Kids,2001,5.6
616,Island of Lost Dreams,2002,5.2
617,Scooby-Doo on Zombie Island,1998,7.7
618,Scooby-Doo! Mystery Incorporated,2010–2013,8.1
619,Scooby-Doo! Curse of the Lake Monster,2010,4.8
620,Stuart Little,1999,6.0
621,Alvin and the Chipmunks,2007,5.2
622,Scooby-Doo and the Cyber Chase,2001,7.0
623,"What's New, Scooby-Doo?",2002–2006,7.2
624,Chicken Little,2005,5.7
625,Meet the Robinsons,2007,6.8
626,Home on the Range,2004,5.3
627,Brother Bear,2003,6.8
628,Over the Hedge,2006,6.7
629,Open Season,2006,6.1
630,Bolt,2008,6.8
631,Shark Tale,2004,6.0
632,Chicken Run,2000,7.1
633,Hoodwinked!,2005,6.5
634,Robots,2005,6.4
