,title,year,imdb_score
635,Flushed Away,2006,6.6
636,Alvin and the Chipmunks,2007,5.2
637,The Clone Wars,2008–2020,8.4
638,The Bad Batch,2021– ,7.8
639,Episode III - Revenge of the Sith,2005,7.6
640,Episode I - The Phantom Menace,1999,6.5
641,Episode II - Attack of the Clones,2002,6.6
642,A Star Wars Story,2018,6.9
643,Episode VI - Return of the Jedi,1983,8.3
644,Rogue One,2016,7.8
645,Episode VII - The Force Awakens,2015,7.8
646,Star Wars,1977,8.6
647,The Book of Boba Fett,2021– ,7.3
648,The Mandalorian,2019– ,8.7
649,The Empire Strikes Back,1980,8.7
650,The Jungle Book,2016,7.4
651,The Lion King,2019,6.8
652,The Jungle Book,1967,7.6
653,Beauty and the Beast,2017,7.1
654,Maleficent,2014,6.9
655,Aladdin,2019,6.9
656,Tarzan,1999,7.3
657,Mistress of Evil,2019,6.6
658,Finding Dory,2016,7.3
659,Alice in Wonderland,2010,6.4
660,Brave,2012,7.1
661,The Jungle Book,1994,6.0
662,Night at the Museum,2006,6.4
663,Angry Birds,2016,6.2
664,The Angry Birds Movie 2,2019,6.4
665,The Boss Baby,2017,6.3
666,Turbo,2013,6.4
667,The Secret Life of Pets,2016,6.5
668,Hotel Transylvania 2,2015,6.6
669,Hotel Transylvania,2012,7.0
670,Rio,2011,6.9
671,The Croods,2013,7.2
672,Cloudy with a Chance of Meatballs 2,2013,6.3
673,Rio 2,2014,6.3
674,Europe's Most Wanted,2012,6.8
675,Summer Vacation,2018,6.3
676,The Iron Giant,1999,8.1
677,Aladdin,1992,8.0
678,The Incredibles,2004,8.0
679,Ratatouille,2007,8.1
680,How to Train Your Dragon,2010,8.1
681,"Monsters, Inc.",2001,8.1
682,Finding Nemo,2003,8.2
683,Klaus,2019,8.1
684,Up,2009,8.3
685,Chicken Run,2000,7.1
686,WALL·E,2008,8.4
687,The Nightmare Before Christmas,1993,7.9
688,Toy Story,1995,8.3
689,The Little Rascals,1994,6.3
690,The Sandlot,1993,7.8
691,"Honey, I Shrunk the Kids",1989,6.4
692,Matilda,1996,6.9
693,Casper,1995,6.1
694,Holes,2003,7.0
695,The Santa Clause,1994,6.5
696,Cool Runnings,1993,7.0
697,The Mighty Ducks,1992,6.5
698,The Little Rascals Save the Day,2014,5.1
700,The Indian in the Cupboard,1995,6.0
702,Flubber,1997,5.3
703,George of the Jungle,1997,5.5
704,101 Dalmatians,1996,5.7
705,"Honey, I Shrunk the Kids",1989,6.4
706,Stuart Little,1999,6.0
707,Doctor Dolittle,1998,5.4
708,Ri¢hie Ri¢h,1994,5.4
709,Casper,1995,6.1
711,Jumanji,1995,7.0
712,Cheaper by the Dozen,2003,5.9
714,Hook,1991,6.8
715,The Emperor's New Groove,2000,7.4
716,Lilo & Stitch,2002,7.3
717,Tarzan,1999,7.3
718,Hercules,1997,7.3
719,Mulan,1998,7.6
720,The Hunchback of Notre Dame,1996,7.0
721,The Lost Empire,2001,6.9
722,A Bug's Life,1998,7.2
723,Pocahontas,1995,6.7
724,Kronk's New Groove,2005,5.8
725,The Jungle Book,1967,7.6
726,Brother Bear,2003,6.8
727,The Princess and the Frog,2009,7.1
728,Monsters Unleashed,2004,5.1
729,Scooby-Doo,2002,5.2
730,Scooby-Doo! The Mystery Begins,2009,5.2
731,"Scooby Doo, Where Are You!",1969–1970,7.9
732,Scooby-Doo on Zombie Island,1998,7.7
733,Scooby-Doo! Mystery Incorporated,2010–2013,8.1
734,Scooby-Doo! Curse of the Lake Monster,2010,4.8
735,Scooby-Doo and the Cyber Chase,2001,7.0
736,"What's New, Scooby-Doo?",2002–2006,7.2
737,Island of Lost Dreams,2002,5.2
738,Scooby-Doo and the Witch's Ghost,1999,7.2
739,Spy Kids,2001,5.6
740,Scooby-Doo and the Alien Invaders,2000,6.8
741,The Pacifier,2005,5.6
742,The Game Plan,2007,6.1
743,Cheaper by the Dozen,2003,5.9
744,Cheaper by the Dozen 2,2005,5.5
745,Daddy Day Care,2003,5.6
746,Tooth Fairy,2010,5.0
747,Spy Kids,2001,5.6
748,Bedtime Stories,2008,6.0
749,Are We There Yet?,2005,4.7
750,Mall Cop,2009,5.2
751,Stuart Little,1999,6.0
752,Catch That Kid,2004,5.2
753,Island of Lost Dreams,2002,5.2
754,Bee Movie,2007,6.1
755,Monsters vs. Aliens,2009,6.4
756,Flushed Away,2006,6.6
757,Over the Hedge,2006,6.7
758,Bolt,2008,6.8
759,Shark Tale,2004,6.0
760,Cloudy with a Chance of Meatballs,2009,6.9
761,Robots,2005,6.4
762,Horton Hears a Who!,2008,6.8
763,Open Season,2006,6.1
764,Megamind,2010,7.3
765,Escape 2 Africa,2008,6.6
766,Rio,2011,6.9
767,Kung Fu Panda,2008,7.6
768,Kung Fu Panda 2,2011,7.2
769,Kung Fu Panda 3,2016,7.1
770,Madagascar,2005,6.9
771,Ice Age,2002,7.5
772,Shrek,2001,7.9
773,Cars,2006,7.2
774,How to Train Your Dragon 2,2014,7.8
775,Shrek 2,2004,7.3
776,Despicable Me,2010,7.6
777,Wreck-It Ralph,2012,7.7
778,Escape 2 Africa,2008,6.6
779,How to Train Your Dragon,2010,8.1
780,Hotel Transylvania 2,2015,6.6
781,Summer Vacation,2018,6.3
782,Hotel Transylvania,2012,7.0
783,Transformania,2022,6.0
784,The Boss Baby,2017,6.3
785,Despicable Me 2,2013,7.3
786,Angry Birds,2016,6.2
787,Despicable Me 3,2017,6.2
788,Rio,2011,6.9
789,Cloudy with a Chance of Meatballs,2009,6.9
790,Cloudy with a Chance of Meatballs 2,2013,6.3
791,The Croods,2013,7.2
792,The Secret Life of Pets,2016,6.5
793,Kung Fu Panda 3,2016,7.1
794,Kung Fu Panda 2,2011,7.2
795,Kung Fu Panda,2008,7.6
796,How to Train Your Dragon 2,2014,7.8
797,Escape 2 Africa,2008,6.6
798,Madagascar,2005,6.9
799,Europe's Most Wanted,2012,6.8
800,The Hidden World,2019,7.4
801,Dawn of the Dinosaurs,2009,6.9
802,Ice Age,2002,7.5
803,Megamind,2010,7.3
805,The Meltdown,2006,6.8
806,Scared Silly!,2015,5.0
807,Open Season 3,2010,5.0
808,Open Season 2,2008,5.5
809,Open Season,2006,6.1
810,WaveMania,2016,4.5
811,Nutty by Nature,2017,5.5
812,The Nut Job,2014,5.7
813,Free Birds,2013,5.8
815,The Smurfs 2,2013,5.3
816,Over the Hedge,2006,6.7
817,The Smurfs,2011,5.4
818,Cloudy with a Chance of Meatballs 2,2013,6.3
819,Alice Through the Looking Glass,2016,6.1
820,Alice in Wonderland,2010,6.4
821,Charlie and the Chocolate Factory,2005,6.7
822,Maleficent,2014,6.9
823,Miss Peregrine's Home for Peculiar Children,2016,6.7
824,Mistress of Evil,2019,6.6
825,Corpse Bride,2005,7.3
826,Beauty and the Beast,2017,7.1
827,Cinderella,2015,6.9
828,"The Lion, the Witch and the Wardrobe",2005,6.9
829,Prince Caspian,2008,6.5
830,The Jungle Book,2016,7.4
831,The Voyage of the Dawn Treader,2010,6.3
832,Antz,1998,6.6
833,A Bug's Life,1998,7.2
834,Chicken Run,2000,7.1
835,Robots,2005,6.4
836,Shark Tale,2004,6.0
837,The Land Before Time,1988,7.4
838,The Curse of the Were-Rabbit,2005,7.5
839,Over the Hedge,2006,6.7
840,Flushed Away,2006,6.6
841,The Road to El Dorado,2000,6.9
842,Surf's Up,2007,6.7
843,Happy Feet,2006,6.4
844,The Jungle Book,1967,7.6
845,Chicken Run,2000,7.1
846,The Curse of the Were-Rabbit,2005,7.5
847,Flushed Away,2006,6.6
848,Over the Hedge,2006,6.7
849,A Bug's Life,1998,7.2
851,Robots,2005,6.4
852,Antz,1998,6.6
853,Shark Tale,2004,6.0
854,Monster House,2006,6.6
855,The Emperor's New Groove,2000,7.4
856,Lilo & Stitch,2002,7.3
857,Tarzan,1999,7.3
858,Game Over,2003,4.3
859,Island of Lost Dreams,2002,5.2
860,Spy Kids,2001,5.6
861,All the Time in the World,2011,3.5
862,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.7
863,Sky High,2005,6.3
864,Scooby-Doo,2002,5.2
865,Monsters Unleashed,2004,5.1
866,Stuart Little,1999,6.0
867,Mission Critical,2018– ,4.8
868,Alvin and the Chipmunks,2007,5.2
869,Stuart Little 2,2002,5.5
870,Garfield,2004,5.0
871,Mulan II,2004,5.6
872,Mulan,1998,7.6
873,Dreams Come True,2001,4.9
874,Journey to a New World,1998,4.8
875,Return to the Sea,2000,5.5
876,A Twist in Time,2007,6.0
878,Tarzan II,2005,5.5
879,Ariel's Beginning,2008,6.1
880,The Lion King 1½,2004,6.5
881,Return to Never Land,2002,5.8
882,Scamp's Adventure,2001,5.7
883,Stitch Has a Glitch,2005,6.2
884,Life in the Dreamhouse,2012–2015,7.4
886,Princess Charm School,2011,6.4
887,A Fashion Fairytale,2010,6.3
888,Barbie in a Mermaid Tale,2010,6.2
889,Barbie in the 12 Dancing Princesses,2006,6.8
890,A Fairy Secret,2011,5.7
891,Ever After High,2013–2017,7.7
892,Barbie and the Diamond Castle,2008,6.3
893,Barbie in 'A Christmas Carol',2008,6.2
894,Barbie in a Mermaid Tale 2,2011,5.9
895,Barbie and the Three Musketeers,2008,6.2
896,Mermaidia,2006,6.2
897,Paddington,2014,7.2
898,Paddington 2,2017,7.8
901,Christopher Robin,2018,7.2
902,The Adventures of Paddington,2019– ,8.4
903,The BFG,2016,6.3
904,Peter Rabbit,2018,6.5
905,Shaun the Sheep Movie,2015,7.3
906,Mary Poppins Returns,2018,6.7
907,The Adventures of Tintin,2011,7.3
908,The Peanuts Movie,2015,7.0
909,The Jungle Book,2016,7.4
910,Minions,2015,6.4
911,Despicable Me 2,2013,7.3
912,Despicable Me 3,2017,6.2
913,Despicable Me,2010,7.6
914,The Rise of Gru,2022,6.6
915,Minion Mayhem 3D,2012,7.3
917,Hotel Transylvania,2012,7.0
918,Banana,2010,7.3
919,Madagascar,2005,6.9
920,The Boss Baby,2017,6.3
921,Wreck-It Ralph,2012,7.7
922,Escape 2 Africa,2008,6.6
923,Le Petit Prince,2015,7.7
924,Song of the Sea,2014,8.0
925,Kubo and the Two Strings,2016,7.7
926,Coraline,2009,7.7
927,The Boxtrolls,2014,6.8
928,The Book of Life,2014,7.2
929,Le petit prince,2010–2017,6.8
931,ParaNorman,2012,7.0
932,Rise of the Guardians,2012,7.2
933,The Secret of Kells,2009,7.6
934,Storks,2016,6.8
935,The Breadwinner,2017,7.7
936,Cool Runnings,1993,7.0
937,The Mighty Ducks,1992,6.5
938,"Honey, I Shrunk the Kids",1989,6.4
939,The Sandlot,1993,7.8
940,Sister Act,1992,6.5
941,Free Willy,1993,6.0
942,The Little Rascals,1994,6.3
943,Rookie of the Year,1993,6.0
944,Holes,2003,7.0
945,The Santa Clause,1994,6.5
946,Babe,1995,6.9
948,3 Men and a Baby,1987,6.1
949,The Incredible Journey,1993,6.9
950,Lost in San Francisco,1996,5.9
951,The Land Before Time,1988,7.4
952,Free Willy,1993,6.0
953,Babe,1995,6.9
955,The Indian in the Cupboard,1995,6.0
956,Angels in the Outfield,1994,6.2
957,All Dogs Go to Heaven,1989,6.7
958,The Little Rascals,1994,6.3
959,An American Tail,1986,6.9
960,The Mighty Ducks,1992,6.5
962,Anastasia,1997,7.1
963,The Lost Empire,2001,6.9
964,The Hunchback of Notre Dame,1996,7.0
965,Pocahontas,1995,6.7
966,The Road to El Dorado,2000,6.9
967,The Prince of Egypt,1998,7.1
968,The Princess and the Frog,2009,7.1
969,Mulan,1998,7.6
970,Hercules,1997,7.3
971,Treasure Planet,2002,7.1
972,The Little Mermaid,1989,7.6
973,Tarzan,1999,7.3
974,The Emperor's New Groove,2000,7.4
975,Good Burger,1997,5.7
976,Kenan & Kel,1996–2000,7.8
977,All That,1994–2020,7.5
978,The Little Rascals,1994,6.3
979,Holes,2003,7.0
980,Fat Albert,2004,4.3
981,Heavyweights,1995,6.6
982,The Amanda Show,1999–2002,6.7
983,Mall Cop,2009,5.2
984,Daddy Day Care,2003,5.6
985,The SpongeBob SquarePants Movie,2004,7.1
986,Hey Arnold!,1996–2004,7.6
987,Rodrick Rules,2011,6.5
988,Secret of the Wings,2012,7.0
989,Tinker Bell and the Lost Treasure,2009,6.6
990,Tinker Bell and the Great Fairy Rescue,2010,6.8
991,The Pirate Fairy,2014,6.5
992,Tinker Bell,2008,6.7
993,Tinker Bell and the Legend of the NeverBeast,2014,7.1
994,Pixie Hollow Games,2011,7.1
996,Barbie of Swan Lake,2003,6.4
997,Barbie in the 12 Dancing Princesses,2006,6.8
998,Barbie as Rapunzel,2002,6.4
999,Barbie in a Mermaid Tale,2010,6.2
1000,Ariel's Beginning,2008,6.1
1001,The BFG,2016,6.3
1002,The Adventures of Tintin,2011,7.3
1003,The Jungle Book,2016,7.4
1004,Pete's Dragon,2016,6.7
1005,Dumbo,2019,6.3
1007,Paddington,2014,7.2
1008,Miss Peregrine's Home for Peculiar Children,2016,6.7
1009,Christopher Robin,2018,7.2
1010,Nanny McPhee and the Big Bang,2010,6.1
1011,Hugo,2011,7.5
1012,Epic,2013,6.6
1013,Arthur Christmas,2011,7.1
1014,The Prince of Egypt,1998,7.1
1015,The Road to El Dorado,2000,6.9
1016,King of Dreams,2000,6.4
1017,Stallion of the Cimarron,2002,7.1
1018,The Lost Empire,2001,6.9
1019,Anastasia,1997,7.1
1020,Legend of the Seven Seas,2003,6.7
1021,The Hunchback of Notre Dame,1996,7.0
1022,Treasure Planet,2002,7.1
1023,The Emperor's New Groove,2000,7.4
1024,Brother Bear,2003,6.8
1025,Tarzan,1999,7.3
1026,Mulan,1998,7.6
1027,The Road to El Dorado,2000,6.9
1028,The Lost Empire,2001,6.9
1029,The Prince of Egypt,1998,7.1
1030,Legend of the Seven Seas,2003,6.7
1031,Treasure Planet,2002,7.1
1032,Stallion of the Cimarron,2002,7.1
1033,The Emperor's New Groove,2000,7.4
1034,Brother Bear,2003,6.8
1035,Anastasia,1997,7.1
1036,The Hunchback of Notre Dame,1996,7.0
1037,Tarzan,1999,7.3
1038,Hercules,1997,7.3
1039,Chicken Run,2000,7.1
1040,Journey to a New World,1998,4.8
1041,Pocahontas,1995,6.7
1042,Mulan II,2004,5.6
1043,Return to the Sea,2000,5.5
1044,Dreams Come True,2001,4.9
1045,A Twist in Time,2007,6.0
1046,Aladdin and the King of Thieves,1996,6.3
1047,The Hunchback of Notre Dame II,2002,4.6
1048,The Return of Jafar,1994,5.8
1049,Scamp's Adventure,2001,5.7
1050,Ariel's Beginning,2008,6.1
1051,Return to Never Land,2002,5.8
1052,The Jungle Book 2,2003,5.3
1053,Fantasia,1940,7.7
1054,Fantasia 2000,1999,7.1
1055,Dumbo,1941,7.2
1056,Bambi,1942,7.3
1057,Snow White and the Seven Dwarfs,1937,7.6
1058,Pinocchio,1940,7.5
1059,Alice in Wonderland,1951,7.4
1060,Lady and the Tramp,1955,7.3
1061,Peter Pan,1953,7.3
1062,The Sword in the Stone,1963,7.1
1063,Cinderella,1950,7.3
1064,One Hundred and One Dalmatians,1961,7.3
1065,Sleeping Beauty,1959,7.2
1066,An American Tail,1986,6.9
1067,Fievel Goes West,1991,6.4
1068,The Land Before Time,1988,7.4
1069,All Dogs Go to Heaven,1989,6.7
1071,The Last Rainforest,1992,6.5
1072,The Treasure of Manhattan Island,1998,5.7
1074,The Rescuers,1977,6.9
1075,The Mystery of the Night Monster,1999,5.7
1077,The Fox and the Hound,1981,7.2
1079,Balto,1995,7.1
1080,Wolf Quest,2001,5.9
1081,Wings of Change,2004,6.1
1082,The Land Before Time,1988,7.4
1083,All Dogs Go to Heaven,1989,6.7
1084,Stallion of the Cimarron,2002,7.1
1085,The Fox and the Hound,1981,7.2
1086,Anastasia,1997,7.1
1087,The Road to El Dorado,2000,6.9
1088,Dinosaur,2000,6.4
1089,An American Tail,1986,6.9
1090,Brother Bear,2003,6.8
1091,The Prince of Egypt,1998,7.1
1092,Brother Bear 2,2006,6.1
1093,Brother Bear,2003,6.8
1094,The Lion King 1½,2004,6.5
1095,Bambi II,2006,6.1
1096,Simba's Pride,1998,6.4
1097,Stitch Has a Glitch,2005,6.2
1098,Tarzan II,2005,5.5
1099,Stallion of the Cimarron,2002,7.1
1100,Dinosaur,2000,6.4
1101,Tarzan,1999,7.3
1102,The Three Musketeers,2004,6.4
1103,The Lost Empire,2001,6.9
1104,Lilo & Stitch,2002,7.3
1105,The Pirate Fairy,2014,6.5
1106,Tinker Bell and the Legend of the NeverBeast,2014,7.1
1107,Secret of the Wings,2012,7.0
1108,Tinker Bell and the Lost Treasure,2009,6.6
1109,Tinker Bell and the Great Fairy Rescue,2010,6.8
1110,Tinker Bell,2008,6.7
1111,Pixie Hollow Games,2011,7.1
1113,Ariel's Beginning,2008,6.1
1114,Barbie of Swan Lake,2003,6.4
1115,A Fashion Fairytale,2010,6.3
1116,Barbie in the 12 Dancing Princesses,2006,6.8
1117,Barbie and the Three Musketeers,2008,6.2
1118,The Last Rainforest,1992,6.5
1119,Fievel Goes West,1991,6.4
1120,An American Tail,1986,6.9
1121,All Dogs Go to Heaven,1989,6.7
1122,The Land Before Time,1988,7.4
1123,Thumbelina,1994,6.2
1125,Once Upon a Forest,1993,6.4
1126,We're Back! A Dinosaur's Story,1993,6.0
1129,The Magical Rescue,1998,4.4
1130,Rock-A-Doodle,1991,6.0
1131,The Lost Empire,2001,6.9
1132,Treasure Planet,2002,7.1
1133,Milo's Return,2003,5.0
1134,The Emperor's New Groove,2000,7.4
1135,Lilo & Stitch,2002,7.3
1136,Brother Bear,2003,6.8
1137,The Road to El Dorado,2000,6.9
1138,The Hunchback of Notre Dame,1996,7.0
1139,Tarzan,1999,7.3
1140,Hercules,1997,7.3
1141,Mulan,1998,7.6
1142,Pocahontas,1995,6.7
1143,Anastasia,1997,7.1
1144,Milo's Return,2003,5.0
1145,The Lost Empire,2001,6.9
1146,Treasure Planet,2002,7.1
1147,Kronk's New Groove,2005,5.8
1148,Tarzan II,2005,5.5
1149,Brother Bear 2,2006,6.1
1150,The Jungle Book 2,2003,5.3
1151,Stitch Has a Glitch,2005,6.2
1152,Legend of the Seven Seas,2003,6.7
1153,Return to Never Land,2002,5.8
1154,Brother Bear,2003,6.8
1155,Aladdin and the King of Thieves,1996,6.3
1156,Journey to a New World,1998,4.8
1157,Corpse Bride,2005,7.3
1158,The Nightmare Before Christmas,1993,7.9
1159,Coraline,2009,7.7
1160,Frankenweenie,2012,6.9
1161,Charlie and the Chocolate Factory,2005,6.7
1162,Alice in Wonderland,2010,6.4
1163,Monster House,2006,6.6
1164,ParaNorman,2012,7.0
1165,Rango,2011,7.2
1166,Miss Peregrine's Home for Peculiar Children,2016,6.7
1167,Alice Through the Looking Glass,2016,6.1
1168,Shrek 2,2004,7.3
1169,Shrek,2001,7.9
1170,Baby's Day Out,1994,6.1
1171,Lost in New York,1992,6.8
1172,Home Alone 3,1997,4.5
1173,Mr. Bean's Holiday,2007,6.4
1174,Bean,1997,6.5
1175,Home Alone,1990,7.7
1176,Stuart Little,1999,6.0
1177,The Karate Kid,2010,6.2
1179,Ri¢hie Ri¢h,1994,5.4
1180,Dennis the Menace,1993,5.6
1181,Jumanji,1995,7.0
1182,Stuart Little 2,2002,5.5
1183,Blank Check,1994,5.2
1184,First Kid,1996,5.2
1185,The Big Green,1995,5.5
1186,Man of the House,1995,5.2
1187,Jungle 2 Jungle,1997,5.1
1188,Heavyweights,1995,6.6
1189,Little Giants,1994,6.4
1191,Angels in the Outfield,1994,6.2
1192,Rookie of the Year,1993,6.0
1193,Ri¢hie Ri¢h,1994,5.4
1194,Camp Nowhere,1994,6.0
1195,Tom and Huck,1995,5.5
1196,Heavyweights,1995,6.6
1197,The Mighty Ducks,1992,6.5
1198,Rookie of the Year,1993,6.0
1199,Little Giants,1994,6.4
1200,The Mighty Ducks,1994,6.1
1201,Angels in the Outfield,1994,6.2
1202,The Sandlot,1993,7.8
1203,Camp Nowhere,1994,6.0
1204,The Big Green,1995,5.5
1205,The Little Rascals,1994,6.3
1206,Cool Runnings,1993,7.0
1207,Blank Check,1994,5.2
1208,Holes,2003,7.0
1209,The Mighty Ducks,1994,6.1
1210,The Mighty Ducks,1996,5.4
1211,The Mighty Ducks,1992,6.5
1212,Rookie of the Year,1993,6.0
1213,Little Giants,1994,6.4
1214,Angels in the Outfield,1994,6.2
1215,The Sandlot,1993,7.8
1216,Cool Runnings,1993,7.0
1217,Heavyweights,1995,6.6
1218,Mighty Ducks,1996–1997,6.4
1219,The Little Rascals,1994,6.3
1220,The Incredible Journey,1993,6.9
1221,"Honey, I Shrunk the Kids",1989,6.4
1222,"Honey, I Shrunk the Kids",1989,6.4
1223,"Honey, I Blew Up the Kid",1992,4.8
1224,Casper,1995,6.1
1225,Hook,1991,6.8
1226,Jumanji,1995,7.0
1228,Who Framed Roger Rabbit,1988,7.7
1229,"Honey, We Shrunk Ourselves!",1997,4.9
1230,Cool Runnings,1993,7.0
1231,The Santa Clause,1994,6.5
1233,Die unendliche Geschichte,1984,7.4
1234,Lost in New York,1992,6.8
